,Código IBGE do Município,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome das Grandes Regiões,Código IBGE da Mesoregião,Nome da Mesoregião,Código IBGE da Microregião,Nome da Microregião,Área da unidade territorial,Estabelecimentos de Saúde SUS,Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010),Matrícula - Ensino fundamental - 2012,Matrícula - Ensino médio - 2012,Número de unidades locais,Pessoal ocupado total,PIB per capita a preços correntes,População residente,População residente - Homens,População residente - Mulheres,População residente alfabetizada,População residente que frequentava creche ou escola,"População residente, religião católica apostólica romana","População residente, religião espírita","População residente, religião evangélicas",Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural,Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana,"Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural","Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana"
137,231060,23,CE,Nordeste,2307,Sul Cearense,23033,Brejo Santo,141.927,11,0.646,1445,484,93,838,5349.36,8226,4044,4182,5740,2800,6788,.,960,200,250.0,824.3,1022.54
138,231070,23,CE,Nordeste,2302,Norte Cearense,23011,MÚdio Curu,1378.311,26,0.629,6086,1968,540,3329,5168.35,35400,17899,17501,24490,11383,30324,77,4275,96.67,226.4,645.18,1185.94
139,231080,23,CE,Nordeste,2305,Jaguaribe,23025,Serra do Pereiro,433.514,6,0.601,3078,767,179,1085,3961.37,15757,7762,7995,10500,5731,14946,65,529,150,207.33,651.77,1002.91
140,231085,23,CE,Nordeste,2302,Norte Cearense,23015,Cascavel,72.964,16,0.636,3328,1073,277,1709,4827.83,18683,9340,9343,13665,5546,15361,.,2479,200,287.5,834.86,1204.74
141,231090,23,CE,Nordeste,2304,Sert§es Cearenses,23021,SertÒo de Senador Pompeu,587.877,6,0.6,2226,492,239,710,3953.33,15467,7790,7677,10888,3944,13867,37,1070,115.6,255.0,659.18,887.86
142,231095,23,CE,Nordeste,2301,Noroeste Cearense,23006,Ipu,243.099,3,0.591,1704,474,43,543,3747.92,10216,5139,5077,6991,3777,9327,.,542,150,170.0,727.31,702.76
143,231100,23,CE,Nordeste,2301,Noroeste Cearense,23006,Ipu,1309.259,5,0.581,2360,543,139,792,3522.25,12001,5974,6027,7549,4548,9567,29,2084,116.67,180.0,579.05,877.66
144,231110,23,CE,Nordeste,2307,Sul Cearense,23032,Cariri,217.58,16,0.622,2591,556,202,1452,3942.83,15061,7366,7695,10087,5407,14021,.,875,154.6,253.0,697.58,960.94
145,231120,23,CE,Nordeste,2307,Sul Cearense,23029,Chapada do Araripe,338.727,8,0.562,1931,285,132,824,3923.3,10276,4987,5289,6256,3582,9177,4,516,103,190.0,532.85,1017.7
146,231123,23,CE,Nordeste,2305,Jaguaribe,23025,Serra do Pereiro,410.338,7,0.604,1068,208,105,555,4620.47,6126,3159,2967,3991,2196,5513,.,395,146.67,264.0,664.87,1118.74
